timestamp,sensor1_index,sensor1_PM1count,sensor1_PM2_5count,sensor1_PM10count,sensor1_PM1mass,sensor1_PM2_5mass,sensor1_PM10mass,sensor1_sensor_T,sensor1_sensor_RH,sensor2_index,sensor2_PM1count,sensor2_PM2_5count,sensor2_PM10count,sensor2_PM1mass,sensor2_PM2_5mass,sensor2_PM10mass,sensor2_sensor_T,sensor2_sensor_RH
2026-04-05T00:00:12.609627,0,467,468,468,29.6,32.8,44.4,31.5,51.81,1,387,388,389,25.2,35.5,38.6,30.47,49.54
2026-04-05T00:01:12.664742,0,531,532,532,34.1,37.8,51.1,32.27,49.58,1,369,370,371,23.8,29.0,45.5,29.62,51.88
2026-04-05T00:02:12.708667,0,452,453,453,28.6,31.8,42.9,32.86,47.69,1,395,396,396,25.6,33.4,36.5,28.95,53.85
2026-04-05T00:03:12.767264,0,435,436,436,27.9,31.0,41.8,33.36,46.28,1,388,389,389,25.5,30.6,60.6,28.49,55.18
2026-04-05T00:04:12.772808,0,431,431,431,27.8,30.8,41.7,33.77,45.02,1,386,388,388,24.5,34.8,51.3,28.11,56.41
2026-04-05T00:05:12.831367,0,377,378,378,24.0,26.7,36.1,34.09,44.12,1,372,372,372,23.5,23.5,23.5,27.78,57.54
2026-04-05T00:06:12.888830,0,347,347,347,23.6,26.2,35.5,34.3,43.1,1,357,357,358,23.5,26.0,39.5,27.49,58.15
2026-04-05T00:07:12.947411,0,371,371,371,24.3,27.0,36.5,34.62,42.52,1,373,374,374,23.7,26.2,26.2,27.2,59.06
2026-04-05T00:08:13.006006,0,351,352,352,22.6,25.2,25.2,32.76,44.12,1,336,336,337,21.2,23.8,40.3,26.97,59.77
2026-04-05T00:09:13.033570,0,376,376,377,24.0,29.2,59.1,31.82,45.99,1,424,424,425,27.7,30.2,63.3,26.74,60.54
2026-04-05T00:10:13.066479,0,410,412,413,25.9,38.8,41.8,30.38,49.26,1,400,401,401,25.2,30.3,33.4,26.59,61.33
2026-04-05T00:11:13.125025,0,432,434,434,27.9,35.7,35.7,29.43,51.99,1,399,400,400,26.6,31.8,31.8,26.41,62.1
2026-04-05T00:12:13.183577,0,400,402,402,26.3,34.1,64.0,28.76,54.09,1,417,417,417,27.0,30.0,40.5,26.59,62.47
2026-04-05T00:13:13.242165,0,473,474,474,30.2,35.3,38.4,28.19,55.96,1,378,378,378,24.6,27.3,37.0,28.91,57.23
2026-04-05T00:14:13.266598,0,480,480,481,31.0,33.5,50.1,27.72,57.49,1,367,367,367,24.3,27.0,36.4,30.5,52.77
2026-04-05T00:15:13.325198,0,503,503,503,31.4,31.4,34.5,27.37,58.74,1,418,419,420,26.9,29.8,40.3,31.55,49.65
2026-04-05T00:16:13.337635,0,493,496,496,32.1,47.6,61.0,27.07,60.0,1,381,381,381,24.0,26.6,36.0,32.38,47.21
