timestamp,sensor1_index,sensor1_PM1count,sensor1_PM2_5count,sensor1_PM10count,sensor1_PM1mass,sensor1_PM2_5mass,sensor1_PM10mass,sensor1_sensor_T,sensor1_sensor_RH,sensor2_index,sensor2_PM1count,sensor2_PM2_5count,sensor2_PM10count,sensor2_PM1mass,sensor2_PM2_5mass,sensor2_PM10mass,sensor2_sensor_T,sensor2_sensor_RH
2026-04-04T13:13:50.324293,0,211,212,212,14.6,19.8,22.8,30.3,46.17,1,167,168,168,10.4,18.1,18.1,30.94,43.4
2026-04-04T13:14:50.325131,0,191,192,192,12.0,19.8,19.8,30.4,45.46,1,162,163,163,10.5,15.7,29.1,31.07,42.52
2026-04-04T13:15:50.325456,0,198,199,199,13.0,15.5,29.0,30.58,43.46,1,162,162,162,10.1,12.7,26.1,31.28,40.6
2026-04-04T13:16:50.384037,0,230,231,231,14.7,17.2,17.2,30.73,43.93,1,211,212,212,13.6,18.8,18.8,31.47,40.82
2026-04-04T13:17:50.442583,0,199,200,200,13.3,18.5,18.5,30.9,42.99,1,169,169,169,10.3,10.3,10.3,31.64,39.69
2026-04-04T13:18:50.446404,0,169,170,170,10.7,15.9,15.9,30.99,41.72,1,138,139,139,8.5,11.1,38.0,31.69,38.43
2026-04-04T13:19:50.466374,0,185,186,186,11.8,17.0,20.0,31.15,41.33,1,162,164,164,10.9,21.2,21.2,31.88,37.9
2026-04-04T13:20:50.482148,0,206,207,207,13.3,18.4,31.9,31.31,42.39,1,165,166,166,11.2,13.8,13.8,32.05,39.16
2026-04-04T13:21:50.520619,0,199,199,199,13.1,13.1,13.1,31.35,41.69,1,139,139,140,9.2,9.2,22.6,32.19,38.29
2026-04-04T13:22:50.579165,0,174,175,175,11.0,13.6,13.6,31.46,38.7,1,132,132,132,8.9,8.9,12.0,32.28,35.21
2026-04-04T13:23:50.637719,0,167,167,167,11.0,11.0,11.0,31.52,38.01,1,134,134,134,8.2,8.2,21.7,32.41,34.68
2026-04-04T13:24:50.648619,0,181,182,182,11.6,14.2,14.2,31.58,37.68,1,131,131,132,7.9,7.9,14.1,32.5,34.25
2026-04-04T13:25:50.707192,0,154,154,154,10.0,10.0,10.0,31.64,36.26,1,177,178,178,11.6,16.7,19.8,32.57,32.87
2026-04-04T13:26:50.759230,0,182,182,183,11.9,14.4,31.0,31.7,36.86,1,145,145,146,8.8,11.3,14.4,32.63,33.38
2026-04-04T13:27:50.760881,0,172,173,173,11.1,16.3,16.3,31.72,37.46,1,150,150,150,9.2,11.8,11.8,32.67,33.81
2026-04-04T13:28:50.762529,0,187,187,187,12.2,14.8,28.2,31.7,37.68,1,132,133,133,9.6,14.7,14.7,32.63,34.26
2026-04-04T13:29:50.763527,0,211,211,211,13.1,15.6,15.6,31.72,38.26,1,148,148,148,9.5,9.5,9.5,32.61,34.86
2026-04-04T13:30:50.765458,0,182,182,183,11.9,11.9,38.8,31.72,38.49,1,177,177,178,11.3,13.8,40.7,32.55,35.05
2026-04-04T13:31:50.766537,0,177,177,177,11.3,11.3,11.3,31.7,39.29,1,156,156,156,9.8,12.4,25.8,32.57,35.87
2026-04-04T13:32:50.820658,0,200,201,201,13.2,15.8,15.8,31.74,40.26,1,141,142,142,9.2,11.8,11.8,32.61,36.87
2026-04-04T13:33:50.879261,0,213,213,214,14.1,19.2,32.7,31.78,41.83,1,171,172,172,11.6,14.1,17.2,32.52,38.46
2026-04-04T13:34:50.894988,0,208,208,208,12.8,12.8,12.8,31.78,42.22,1,145,145,145,8.9,11.5,24.9,32.57,38.86
2026-04-04T13:35:50.953535,0,215,215,215,13.0,13.0,13.0,31.78,42.65,1,153,153,153,10.0,10.0,23.4,32.48,39.26
2026-04-04T13:36:51.012079,0,205,206,206,12.7,20.4,33.9,31.76,43.07,1,173,173,173,11.2,11.2,24.6,32.5,39.9
2026-04-04T13:37:51.070659,0,216,216,216,14.0,14.0,14.0,31.74,43.91,1,169,170,170,10.4,15.5,15.5,32.52,40.85
2026-04-04T13:38:51.098204,0,188,189,189,12.6,17.7,31.2,31.7,43.93,1,187,187,187,11.7,11.7,11.7,32.52,40.74
2026-04-04T13:39:51.156791,0,207,207,207,13.2,13.2,26.7,31.76,42.4,1,139,140,140,8.4,16.1,29.6,32.55,38.84
2026-04-04T13:40:51.172658,0,186,186,186,12.4,14.9,14.9,31.86,42.32,1,143,143,143,8.9,8.9,8.9,32.59,38.9
2026-04-04T13:41:51.231205,0,187,187,187,11.8,11.8,14.9,31.9,42.86,1,156,156,157,9.6,12.2,25.6,32.72,39.45
2026-04-04T13:42:51.260609,0,205,206,206,13.4,21.1,24.2,31.96,41.78,1,149,149,150,9.2,11.7,14.8,32.82,38.31
2026-04-04T13:43:51.299239,0,209,210,211,13.4,21.1,37.6,32.05,42.27,1,144,144,144,9.4,12.0,15.1,32.9,38.7
2026-04-04T13:44:51.300086,0,181,181,181,12.0,17.1,17.1,32.03,40.92,1,149,149,149,9.3,9.3,22.8,32.98,37.51
2026-04-04T13:45:51.358666,0,211,212,212,14.1,16.6,16.6,32.12,42.43,1,169,170,170,10.6,15.7,29.1,33.03,38.72
2026-04-04T13:46:51.417248,0,235,235,236,15.6,15.6,55.9,32.16,42.96,1,169,169,169,10.8,10.8,13.8,33.11,39.24
2026-04-04T13:47:51.417526,0,204,204,205,12.6,12.6,42.6,32.21,42.97,1,161,162,162,10.4,13.0,13.0,33.17,39.3
2026-04-04T13:48:51.445039,0,235,236,236,15.7,18.2,31.7,32.27,43.22,1,168,168,169,11.5,11.5,14.5,33.29,39.54
2026-04-04T13:49:51.499599,0,174,174,174,11.0,13.6,40.4,32.37,42.42,1,149,149,149,9.4,9.4,9.4,33.36,38.53
2026-04-04T13:50:51.500219,0,191,191,192,13.6,16.2,35.8,32.39,41.51,1,134,135,135,8.3,13.4,13.4,33.36,37.76
2026-04-04T13:51:51.501288,0,206,206,207,13.3,15.9,32.4,32.43,41.64,1,162,162,162,10.8,10.8,13.9,33.4,37.91
2026-04-04T13:52:51.501694,0,207,208,208,13.0,15.6,42.5,32.45,41.96,1,167,167,168,10.6,13.2,29.7,33.42,38.23
2026-04-04T13:53:51.560241,0,187,187,187,11.8,11.8,11.8,32.39,42.72,1,140,140,140,8.7,8.7,22.1,33.38,39.05
2026-04-04T13:54:51.618788,0,208,209,209,13.7,16.3,59.7,32.43,43.12,1,162,162,163,10.3,15.5,28.9,33.42,39.56
2026-04-04T13:55:51.677365,0,202,203,203,12.7,17.8,17.8,32.39,43.38,1,160,160,161,10.4,10.4,23.9,33.36,39.81
2026-04-04T13:56:51.735949,0,185,185,185,12.3,12.3,12.3,32.37,43.42,1,172,173,173,11.1,13.7,13.7,33.29,39.76
2026-04-04T13:57:51.736597,0,195,196,197,12.1,22.4,49.3,32.33,43.3,1,144,144,144,9.6,9.6,36.5,33.31,39.69
2026-04-04T13:58:51.764113,0,201,202,202,13.3,18.5,45.4,32.33,43.47,1,156,157,157,9.8,15.0,41.9,33.27,39.81
2026-04-04T13:59:51.764872,0,209,209,209,14.3,14.3,14.3,32.29,43.16,1,153,154,154,10.1,12.7,39.5,33.26,39.56
2026-04-04T14:00:51.823419,0,187,187,188,12.2,14.8,17.8,32.29,43.22,1,144,145,145,9.4,14.6,14.6,33.27,39.56
2026-04-04T14:01:51.852329,0,175,175,175,11.5,11.5,24.9,32.25,43.45,1,145,146,146,9.6,14.7,14.7,33.22,39.7
2026-04-04T14:02:51.899564,0,169,169,169,10.3,10.3,10.3,32.21,43.2,1,146,146,146,9.3,9.3,9.3,33.18,39.41
2026-04-04T14:03:51.958159,0,165,165,165,10.7,13.2,13.2,32.18,42.38,1,130,130,130,7.9,7.9,7.9,33.18,38.34
2026-04-04T14:04:52.016742,0,170,170,170,10.9,10.9,10.9,32.12,42.42,1,154,154,154,9.7,9.7,23.2,33.15,38.61
